distance,elevation
0,-7
0.2,-7
0.5,-3
0.8,-3
1,-2
1.3,7
1.6,13
1.7,26
2.1,16
2.4,13
2.6,52
2.9,16
3.2,10
3.5,3
3.7,3
4,-1
4.3,-3
4.5,-3
4.8,0
5.1,16
5.3,97
5.6,174
5.9,213
6.1,259
6.4,272
6.7,269
7,239
7.2,220
7.5,226
7.8,224
8,213
8.3,230
8.6,253
8.8,253
9.1,234
9.4,197
9.6,157
9.9,197
10.2,269
10.5,236
10.7,129
11,82
11.3,85
11.5,157
11.8,189
12.1,213
12.3,198
12.6,180
12.9,213
13.2,213
13.4,177
13.7,161
14,148
14.2,141
14.5,144
14.8,151
15,171
15.3,184
15.6,212
15.8,239
16.1,262
16.4,276
16.7,262
16.9,282
17.2,264
17.5,239
17.7,233
18,226
18.3,226
18.5,231
18.8,266
19.1,269
19.3,272
19.6,231
19.9,161
20.2,167
20.4,135
20.7,62
21,46
21.2,13
21.5,23
21.8,39
22,16
22.3,10
22.6,30
22.9,23
23.1,49
23.4,16
23.7,7
23.9,30
24.2,39
24.5,25
24.7,-3
25,7
25.3,-5
25.5,0
25.8,3
26.1,10
26.2,-7
