athlete_id,pace,mile
Greg McQuaid,9:15,1
Greg McQuaid,8:48,2
Greg McQuaid,9:39,3
Greg McQuaid,9:24,4
Greg McQuaid,9:32,5
Greg McQuaid,10:25,6
Greg McQuaid,9:42,7
Greg McQuaid,9:51,8
Greg McQuaid,9:36,9
Greg McQuaid,9:25,10
Greg McQuaid,9:54,11
Greg McQuaid,9:46,12
Greg McQuaid,9:42,13
Greg McQuaid,8:45,14
Greg McQuaid,8:50,15
Greg McQuaid,10:06,16
Greg McQuaid,10:11,17
Greg McQuaid,9:58,18
Greg McQuaid,9:30,19
Greg McQuaid,9:41,20
Greg McQuaid,8:44,21
Greg McQuaid,9:09,22
Greg McQuaid,9:15,23
Greg McQuaid,8:25,24
Greg McQuaid,8:09,25
Greg McQuaid,8:46,26
Jorge Maravilla,5:44,1
Jorge Maravilla,5:53,2
Jorge Maravilla,5:40,3
Jorge Maravilla,5:42,4
Jorge Maravilla,5:42,5
Jorge Maravilla,5:55,6
Jorge Maravilla,5:19,7
Jorge Maravilla,5:26,8
Jorge Maravilla,5:34,9
Jorge Maravilla,5:37,10
Jorge Maravilla,5:02,11
Jorge Maravilla,5:53,12
Jorge Maravilla,5:41,13
Jorge Maravilla,5:24,14
Jorge Maravilla,5:37,15
Jorge Maravilla,5:46,16
Jorge Maravilla,5:46,17
Jorge Maravilla,5:23,18
Jorge Maravilla,5:30,19
Jorge Maravilla,5:25,20
Jorge Maravilla,5:10,21
Jorge Maravilla,5:12,22
Jorge Maravilla,5:39,23
Jorge Maravilla,5:33,24
Jorge Maravilla,5:29,25
Jorge Maravilla,5:46,26
Hilary Shirazi,8:02,1
Hilary Shirazi,7:49,2
Hilary Shirazi,7:47,3
Hilary Shirazi,7:37,4
Hilary Shirazi,7:50,5
Hilary Shirazi,8:49,6
Hilary Shirazi,7:42,7
Hilary Shirazi,7:48,8
Hilary Shirazi,7:57,9
Hilary Shirazi,8:12,10
Hilary Shirazi,7:37,11
Hilary Shirazi,8:11,12
Hilary Shirazi,7:56,13
Hilary Shirazi,7:56,14
Hilary Shirazi,8:05,15
Hilary Shirazi,8:18,16
Hilary Shirazi,8:59,17
Hilary Shirazi,7:51,18
Hilary Shirazi,8:05,19
Hilary Shirazi,8:06,20
Hilary Shirazi,7:43,21
Hilary Shirazi,7:47,22
Hilary Shirazi,8:24,23
Hilary Shirazi,8:14,24
Hilary Shirazi,8:01,25
Hilary Shirazi,8:07,26
Iain Mickle,6:46,1
Iain Mickle,6:40,2
Iain Mickle,6:41,3
Iain Mickle,6:34,4
Iain Mickle,6:35,5
Iain Mickle,7:26,6
Iain Mickle,6:34,7
Iain Mickle,6:37,8
Iain Mickle,6:46,9
Iain Mickle,7:02,10
Iain Mickle,6:27,11
Iain Mickle,7:09,12
Iain Mickle,6:56,13
Iain Mickle,6:38,14
Iain Mickle,6:55,15
Iain Mickle,6:51,16
Iain Mickle,6:52,17
Iain Mickle,6:29,18
Iain Mickle,6:30,19
Iain Mickle,6:40,20
Iain Mickle,6:18,21
Iain Mickle,6:32,22
Iain Mickle,6:44,23
Iain Mickle,6:50,24
Iain Mickle,6:38,25
Iain Mickle,6:51,26
Balint Gal,8:49,1
Balint Gal,8:59,2
Balint Gal,9:00,3
Balint Gal,8:56,4
Balint Gal,8:49,5
Balint Gal,9:34,6
Balint Gal,8:32,7
Balint Gal,8:31,8
Balint Gal,8:46,9
Balint Gal,8:44,10
Balint Gal,8:17,11
Balint Gal,9:08,12
Balint Gal,8:42,13
Balint Gal,8:34,14
Balint Gal,9:16,15
Balint Gal,9:09,16
Balint Gal,9:07,17
Balint Gal,8:42,18
Balint Gal,8:37,19
Balint Gal,8:41,20
Balint Gal,8:23,21
Balint Gal,8:32,22
Balint Gal,8:51,23
Balint Gal,8:49,24
Balint Gal,8:24,25
Balint Gal,8:44,26
Gene Dykes,8:02,1
Gene Dykes,7:49,2
Gene Dykes,7:47,3
Gene Dykes,7:37,4
Gene Dykes,7:50,5
Gene Dykes,8:49,6
Gene Dykes,7:42,7
Gene Dykes,7:48,8
Gene Dykes,7:57,9
Gene Dykes,8:12,10
Gene Dykes,7:37,11
Gene Dykes,8:11,12
Gene Dykes,7:56,13
Gene Dykes,7:56,14
Gene Dykes,8:05,15
Gene Dykes,8:18,16
Gene Dykes,8:59,17
Gene Dykes,7:51,18
Gene Dykes,8:05,19
Gene Dykes,8:06,20
Gene Dykes,7:43,21
Gene Dykes,7:47,22
Gene Dykes,8:24,23
Gene Dykes,8:14,24
Gene Dykes,8:01,25
Gene Dykes,9:16,26
Lauren Elkins,11:29,1
Lauren Elkins,11:26,2
Lauren Elkins,11:25,3
Lauren Elkins,11:00,4
Lauren Elkins,11:10,5
Lauren Elkins,12:50,6
Lauren Elkins,12:37,7
Lauren Elkins,12:26,8
Lauren Elkins,11:37,9
Lauren Elkins,11:16,10
Lauren Elkins,12:05,11
Lauren Elkins,12:13,12
Lauren Elkins,13:22,13
Lauren Elkins,12:22,14
Lauren Elkins,12:04,15
Lauren Elkins,13:36,16
Lauren Elkins,13:49,17
Lauren Elkins,13:01,18
Lauren Elkins,12:27,19
Lauren Elkins,13:44,20
Lauren Elkins,12:59,21
Lauren Elkins,15:08,22
Lauren Elkins,15:30,23
Lauren Elkins,14:18,24
Lauren Elkins,15:59,25
Lauren Elkins,16:10,26
Lauren Elkins,15:56,27
